Name,Disaster,Begin Date,End Date,Total loss Cost (Millions of Dollars),Deaths,Budget_asset
South and Southeast Severe Weather (May 2019),Severe Storm,20190507,20190513,1726,0,23400
Hurricane Bonnie (August 1998),Tropical Cyclone,19980827,19980829,1754.2,3,23600
Texas Hail Storm (March 2019),Severe Storm,20190322,20190324,1765.3,0,23800
Plains Severe Weather (April 2014),Severe Storm,20140402,20140403,1765.7,0,24000
Rockies and Northeast Severe Weather (July 2016),Severe Storm,20160728,20160730,1773.4,0,24200
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,19970228,19970305,1789.1,67,24400
Hurricane Lili (October 2002),Tropical Cyclone,20020801,20020805,1789.3,2,24600
Midwest Severe Weather (June 2017),Severe Storm,20170612,20170616,1795.8,0,24800
California Flooding (February 2017),Flooding,20170208,20170222,1800,5,25000
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,20200520,20200523,1805.9,2,25200
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,20090609,20090612,1806.2,0,25400
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,19971201,19980228,1818.3,132,25600
Midwest/Plains Severe Weather (April 2013),Severe Storm,20130407,20130411,1819.4,1,25800
Hurricane Dorian (September 2019),Tropical Cyclone,20190828,20190906,1835.4,10,26000
Colorado Hail Storm (July 1990),Severe Storm,19900711,19900711,1836.9,0,26200
Central Severe Weather (June 2022),Severe Storm,6/7/2022,6/8/2022,1837,0,26400
Central and Eastern Winter Storm (January 1999),Winter Storm,19990101,19990104,1837.9,25,26600
Western Fire Season (Spring-Summer 2000),Wildfire,20000301,20000831,1838.4,0,26800
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,20180719,20180722,1838.7,0,27000
North Central Hail Storms (May 2022),Severe Storm,5/19/2022,5/19/2022,1839,0,27200
Ohio Valley Hail Storms (June 2021),Severe Storm,20210617,20210618,1843.6,0,27400
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,20210324,20210325,1844.7,6,27600
Tropical Storm Isidore (September 2002),Tropical Cyclone,20020925,20020927,1851.5,5,27800
Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,20211215,20211215,1871.3,1,28000
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,19950701,19950930,1879.8,872,28200
Colorado Flooding (September 2013),Flooding,20130910,20130916,1885.6,9,28400
Pacific Northwest Severe Flooding (February 1996),Flooding,19960207,19960212,1905.6,9,28600
Florida Freeze (January 1981),Freeze,1/12/1981,1/14/1981,1921.9,0,28800
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,20150407,20150409,1928.8,2,29000
North Central Hail Storms (May 2022),Severe Storm,20220509,20220509,1929.1,0,29200
Midwest/Plains Tornadoes (April 1994),Severe Storm,19940425,19940427,1950.4,3,29400
Severe Storms and Tornadoes (March 2006),Severe Storm,20060308,20060313,1952.9,10,29600
Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,20191020,20191020,1958.4,2,29800
South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,20090409,20090410,1959.3,6,30000
Texas Flooding (October 1994),Flooding,19941016,19941025,1960,19,30200
Tropical Storm Alberto (July 1994),Tropical Cyclone,19940707,19940710,1967,32,30400
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,20110618,20110622,1983.1,3,30600
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,20170425,20170507,1990.8,20,30800
"Hail, Tornadoes (April 1992)",Severe Storm,19920428,19920429,2004.3,0,31000
California Freeze (January 2007),Freeze,20070111,20070117,2016,1,31200
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,19980530,19980602,2049.5,20,31400
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1/8/1982,1/16/1982,2052.4,85,31600
Hurricane Allen (August 1980),Tropical Cyclone,8/7/1980,8/11/1980,2071,13,31800
"Winter Storm, Cold Wave (January 1994)",Winter Storm,19940117,19940120,2080,70,32000
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,20160508,20160511,2098,2,32200
Western Fire Season (Fall 2002),Wildfire,20020901,20021130,2129.9,21,32400
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,20140427,20140501,2135.5,33,32600
Numerous Wildfires (2006),Wildfire,20060101,20061231,2156.7,28,32800
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,20170228,20170301,2167.2,6,33000
Hurricane Fiona (September 2022),Tropical Cyclone,9/17/2022,9/18/2022,2178,25,33200
Northeast Flooding (June 2006),Flooding,20060625,20060628,2191,20,33400
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,20080606,20080612,2192.1,18,33600
